Class,Class Number,Class Section,Class Section-B,Class Time,Class Room,Class Instructor,Rating
COM 1010,42569,DMWC-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 3-130,Marcus Harvey,4.9
COM 1010,42570,DMWD-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 3-145,Marcus Dargan,No Rating
COM 1010,42571,DMWE-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 9-116,Patricia Ougourlian,3.96
COM 1010,42572,DMWF-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 9-117,Beth Seplow,4.0
COM 1010,42573,DMWG-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 3-185,Agnese Gangadeen,No Rating
COM 1010,44859,DMWI-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 10-118,Ashley Hamilton,No Rating
COM 1010,42574,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 13-130,Carol Gray,2.0
COM 1010,42575,EMWB-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 3-130,Marcus Harvey,4.9
COM 1010,42576,EMWC-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 3-145,Carly Smith,4.0
COM 1010,44475,EMWD-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 10-118,Agnese Gangadeen,No Rating
COM 1010,42566,EMWE-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 13-135,Ashley Hamilton,No Rating
COM 1010,42577,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 3-130,Eve Maged,3.29
COM 1010,42578,ETRB-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 3-145,Daniel Szymczak,No Rating
COM 1010,42580,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 10-120,John Fuller,3.4
COM 1010,42581,FMWB-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 13-130,Carol Gray,2.0
COM 1010,44538,FMWC-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 10-118,Shoshana Ohlbaum,4.9
COM 1010,42584,FTRC-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 9-117,Daniel Szymczak,No Rating
COM 1010,63747,KRTT-LEC,Regular,TuTh 14:55 - 16:35,B - Vert 10-120,Andrea Tienan,3.83
COM 1010,63748,KTRT-LEC,Regular,TuTh 14:55 - 16:35,B - Vert 13-130,Joyce Mandell,3.7
COM 1010,42586,MFA-LEC,Regular,Fr 11:10 - 14:05,B - Vert 10-120,Margit Edwards,3.5
COM 1010,42587,MFB-LEC,Regular,Fr 11:10 - 14:05,B - Vert 13-130,Thomas Pison,3.4
COM 1010,44476,MFC-LEC,Regular,Fr 11:10 - 14:05,B - Vert 10-118,Mara Valderrama,4.8
COM 1010,42589,NFA-LEC,Regular,Fr 14:30 - 17:25,B - Vert 10-118,Thomas Pison,3.4
COM 1010,77445,NFB-LEC,Regular,Fr 14:30 - 17:25,B - Vert 4-213,Mara Valderrama,4.8
COM 1010,42585,NSA-LEC,Regular,Sa 14:30 - 17:25,B - Vert 10-118,Thomas Pison,3.4
COM 1010,42590,PMWA-LEC,Regular,MoWe 17:50 - 19:05,B - Vert 3-130,Carly Smith,4.0
COM 1010,44858,PMWB-LEC,Regular,MoWe 17:50 - 19:05,B - Vert 13-135,Adrienne Avery,No Rating
COM 1010,42592,PTRB-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 13-130,Eve Maged,3.29
COM 1010,42593,PTRC-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 13-135,Ivan Makar,No Rating
COM 1010,42594,PTRD-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 3-130,Joyce Mandell,3.7
COM 1010,42595,PTRE-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 3-145,Andrea Tienan,3.83
COM 1010,42596,QMWA-LEC,Regular,MoWe 19:30 - 20:45,B - Vert 3-130,David Meadow,No Rating
COM 1010,42597,QMWB-LEC,Regular,MoWe 19:30 - 20:45,B - Vert 3-145,Carly Smith,4.0
COM 1010,44860,QMWC-LEC,Regular,MoWe 19:30 - 20:45,B - Vert 13-135,Adrienne Avery,No Rating
COM 1010,63734,QTRA-LEC,Regular,TuTh 19:30 - 20:45,B - Vert 10-118,Andrea Tienan,3.83
COM 1010,77444,QTRB-LEC,Regular,TuTh 19:30 - 20:45,B - Vert 3-130,Pamela Thielman,4.5
COM 1010,78879,QTRC-LEC,Regular,TuTh 19:30 - 20:45,B - Vert 4-190,Daniel Szymczak,No Rating
COM 1010,63735,URB-LEC,Regular,Th 18:05 - 21:00,B - Vert 9-116,David Gechlik,3.5
COM 1010,44477,UWB-LEC,Regular,We 18:05 - 21:00,B - Vert 10-118,Christine Klusko,No Rating
COM 1010H,42599,BMWH-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 3-145,Richard Wilkins,No Rating
COM 2000,56770,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 10-125,Richard Wilkins,No Rating
COM 3040,43546,DMWA-LEC,Regular,MoWe 12:50 - 14:05,H - Tech 135,Lisa A Ellis,No Rating
COM 3040,43549,ETRA-LEC,Regular,TuTh 14:30 - 15:45,H - Tech 130,Bobbie Pollard,2.8
COM 3040,43548,FTRA-LEC,Regular,TuTh 16:10 - 17:25,H - Tech 135,Aisha Pena,No Rating
COM 3040,43550,UTA-LEC,Regular,Tu 18:05 - 21:05,H - Tech 320,Kimmy Szeto,0.0
COM 3045,44478,MTA-LEC,Regular,Tu 11:10 - 14:05,B - Vert 7-150,Eric Gander,3.5
COM 3057,44480,BMWA-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 6-118,Vyshali Manivannan,No Rating
COM 3057,74442,FTRA-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 3-145,Ali Sengul,No Rating
COM 3059,74441,URA-LEC,Regular,Th 18:05 - 21:00,B - Vert 3-190,Ali Sengul,No Rating
COM 3060,42601,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 6-175,Michael Kaplan,1.7
COM 3062,44553,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 6-118,Vyshali Manivannan,No Rating
COM 3068,42604,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 6-118,Linda Lopez,3.6
COM 3068,44485,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 6-118,Linda Lopez,3.6
COM 3068,42605,FTRA-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 6-175,Oksanna Reynolds,4.6
COM 3068,77680,MSA-LEC,Regular,Sa 11:10 - 14:05,B - Vert 12-170,Suzanne Epstein,3.5
COM 3068,42606,MUA-LEC,Regular,Su 11:10 - 14:05,B - Vert 4-170,Trudy Milburn,3.81
COM 3068,42607,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 4-190,Oksanna Reynolds,4.6
COM 3068,64441,PTRB-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 4-185,Trudy Milburn,3.81
COM 3069,42608,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 3-160,Elisabeth Gareis,4.37
COM 3069,44629,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 6-175,Oksanna Reynolds,4.6
COM 3070,73133,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 3-190,Piper Corp,5.0
COM 3071,42609,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 6-175,Michael Kaplan,1.7
COM 3077,42610,BMWA-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 6-140,Rebecca Merkin,4.3
COM 3077,77506,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 9-117,Ashley Hamilton,No Rating
COM 3078,44488,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 6-119,Elizabeth Minei,4.2
COM 3078,42611,FTRA-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 6-180,Elizabeth Minei,4.2
COM 3079,57143,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 4-165,Sarah Bishop,4.4
COM 3079,57144,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 4-175,Sarah Bishop,4.4
COM 3081,57145,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 6-118,Allison Hahn,5.0
COM 3102,44489,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 4-213,Darnide Cayo,4.9
COM 3102,42612,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 4-190,Michael Bayer,4.9
COM 3102,44490,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 6-118,Darnide Cayo,4.9
COM 3102,64443,FTRA-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 6-118,Susan Mekrami,4.3
COM 3102,54475,JAN1-LEC,Winter,MoTuWeThFr 09:30 - 12:00,B - Vert 4-175,Darnide Cayo,4.9
COM 3102,54476,JAN3-LEC,Winter,MoTuWeThFr 13:00 - 15:30,B - Vert 4-175,Darnide Cayo,4.9
COM 3102,44554,MFA-LEC,Regular,Fr 11:10 - 14:05,B - Vert 6-180,Denise Patrick,4.77
COM 3102,42613,PMWA-LEC,Regular,MoWe 17:50 - 19:05,B - Vert 9-180,Darnide Cayo,4.9
COM 3102,42614,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 11-165,Lemuel Brewster,4.9
COM 3150,42617,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 6-180,Bernadette La Borne,0.0
COM 3150,42618,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 6-180,Roy Johnson,4.9
COM 3150,42620,FTRA-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 4-190,Michael Bayer,4.9
COM 3150,54478,JAN4-LEC,Winter,MoTuWeThFr 14:30 - 17:00,B - Vert 4-165,Roy Johnson,4.9
COM 3150,54477,JANE-LEC,Winter,MoTuWeTh 17:50 - 20:58,B - Vert 4-165,Roy Johnson,4.9
COM 3150,78659,MFA-LEC,Regular,Fr 11:10 - 14:05,B - Vert 11-165,James Marrin,No Rating
COM 3150,44767,MTA-LEC,Regular,Tu 11:10 - 14:05,B - Vert 10-120,James Armstrong,4.0
COM 3150,42619,PMWA-LEC,Regular,MoWe 17:50 - 19:05,B - Vert 4-190,Suzanne Epstein,3.5
COM 3150,44491,QTRA-LEC,Regular,TuTh 19:30 - 20:45,B - Vert 11-165,Lemuel Brewster,4.9
COM 3150H,42622,CTRH-LEC,Regular,TuTh 10:45 - 12:00,B - Vert 6-118,Peter Horowitz,4.4
COM 3750,57048,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 8-160,Gerard Dalgish,4.5
COM 3800,44610,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 6-140,Erica Yakobzon,5.0
COM 3800,54479,JAN2-LEC,Winter,MoTuWeThFr 11:00 - 13:30,B - Vert 4-160,Susan Mekrami,4.3
COM 3800,42623,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 4-165,Susan Mekrami,4.3
COM 4000,42625,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 6-175,Stephen Dishart,3.8
COM 4000,66533,JAN2-LEC,Winter,MoTuWeThFr 11:00 - 13:30,B - Vert 4-165,Stephen Dishart,3.8
COM 4000,42624,PMWA-LEC,Regular,MoWe 17:50 - 19:05,B - Vert 11-165,Roy Johnson,4.9
COM 4005,42626,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 6-180,Roy Johnson,4.9
COM 4005,42627,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 4-160,Michael Bayer,4.9
COM 4005,42628,UMA-LEC,Regular,Mo 18:05 - 21:00,B - Vert 6-140,Deborah Wetzel,5.0
COM 4010,42629,UTA-LEC,Regular,Tu 18:05 - 21:00,B - Vert 6-119,Donald Singletary,3.2
COM 4010,42630,UWA-LEC,Regular,We 18:05 - 21:00,B - Vert 6-119,Stephen Dishart,3.8
COM 4900,42635,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 6-175,Shoshana Ohlbaum,4.9
COM 4900,42636,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 4-190,Shoshana Ohlbaum,4.9
COM 4900,42638,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 11-165,Susan Mekrami,4.3
COM 4900,42637,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 4-190,Linda Lopez,3.6
COM 4900,42634,NFA-LEC,Regular,Fr 14:30 - 17:25,B - Vert 10-125,Denise Patrick,4.77
COM 4900,77682,UMA-LEC,Regular,Mo 18:05 - 21:00,B - Vert 6-180,Brian Farkas,5.0
COM 4900,42640,URA-LEC,Regular,Th 18:05 - 21:00,B - Vert 6-119,Brian Farkas,5.0
COM 4900,42639,UTA-LEC,Regular,Tu 18:05 - 21:00,B - Vert 9-140,Alexander Yaroslavsky,No Rating
COM 4905,56966,AMWA-LEC,Regular,MoWe 07:25 - 08:40,B - Vert 10-125,Richard Wilkins,No Rating
COM 4906,74443,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 11-165,Richard Wilkins,No Rating
COM 5000,79854,BISH-LEC,Regular,TBA,TBA,Sarah Bishop,4.4
COM 5000,77737,BODD-LEC,Regular,TBA,TBA,William Boddy,3.5
COM 5000,80243,GAR1-LEC,Regular,TBA,TBA,Elisabeth Gareis,4.37
COM 5000,80188,GARE-LEC,Regular,TBA,TBA,Elisabeth Gareis,4.37
COM 5000,80204,HAH1-LEC,Regular,TBA,TBA,Allison Hahn,5.0
COM 5000,80444,HOR1-LEC,Regular,TBA,TBA,Peter Horowitz,4.4
COM 5000H,80205,WIL3-LEC,Regular,TBA,TBA,Richard Wilkins,No Rating
COM 5010,42642,TBA1-LEC,Regular,TBA,TBA,Peter Horowitz,4.4
COM 5010,42643,TBA2-LEC,Regular,TBA,TBA,Rebecca Merkin,4.3
COM 5010,44790,TBA3-LEC,Regular,TBA,TBA,Michael Kaplan,1.7
COM 5010,44907,TBA4-LEC,Regular,TBA,TBA,Georgiana Frances Okeefe Bazzoni,No Rating
COM 9510,43923,UMA-LEC,Regular,Mo 18:05 - 21:00,B - Vert 6-119,Eric Gander,3.5
COM 9620,79263,UTA-LEC,Regular,Tu 18:05 - 21:00,B - Vert 8-213,Stephen Dishart,3.8
COM 9630,63739,UWA-LEC,Regular,We 18:05 - 21:00,B - Vert 6-118,Staff,No Rating
COM 9635,43786,URA-LEC,Regular,Th 18:05 - 21:05,B - Vert 6-118,Allison Hahn,5.0
COM 9640,63740,UWA-LEC,Regular,We 18:05 - 21:00,B - Vert 6-175,Caryn Medved,4.9
COM 9652,63741,UMA-LEC,Regular,Mo 18:05 - 21:00,B - Vert 7-175,Lemuel Brewster,4.9
COM 9653,63491,JANE-LEC,Winter,MoTuWeTh 17:50 - 20:58,B - Vert 4-160,Floyd Norris,No Rating
COM 9656,42646,NET-LEC,Regular,TBA,TBA,Elisabeth Gareis,4.37
COM 9658,56972,UTA-LEC,Regular,Tu 18:05 - 21:00,B - Vert 6-180,Peter Horowitz,4.4
COM 9661,78156,CMED-LEC,Regular,TBA,TBA,Caryn Medved,4.9
COM 9661,78440,GOOD-LEC,Regular,TBA,TBA,Michael Goodman,4.64
COM 9661,78506,HORO-LEC,Regular,TBA,TBA,Peter Horowitz,4.4
COM 9661,74772,MEDC-LEC,Regular,TBA,TBA,Caryn Medved,4.9
COM 9661,79509,MG1-LEC,Regular,TBA,TBA,Michael Goodman,4.64
COM 9661,72270,SSPE-LEC,Regular,TBA,TBA,Shelley Spector,No Rating
COM 9663,77920,CMED-LEC,Regular,TBA,TBA,Caryn Medved,4.9
COM 9663,80049,XM33-LEC,Regular,TBA,TBA,Michael Goodman,4.64
COM 9800,78536,MEDV-LEC,Regular,TBA,TBA,Caryn Medved,4.9
COM 9900,77672,CM1A-LEC,Regular,TBA,TBA,Caryn Medved,4.9
COM 9900,77673,CM1B-LEC,Regular,TBA,TBA,Caryn Medved,4.9
COM 9900,80531,MG3-LEC,Regular,TBA,TBA,Michael Goodman,4.64
COM 9991,77674,GOOD-LEC,Regular,TBA,TBA,Michael Goodman,4.64
COM 9991,77675,TBA1-LEC,Regular,TBA,TBA,Staff,No Rating
COM 9991,77676,TBA2-LEC,Regular,TBA,TBA,Staff,No Rating
COM 9991,77677,TBA3-LEC,Regular,TBA,TBA,Staff,No Rating
COM 9992,80293,HOR3-LEC,Regular,TBA,TBA,Peter Horowitz,4.4
COM 9992,79680,MG3-LEC,Regular,TBA,TBA,Michael Goodman,4.64
CSTM 120,57052,1MRA-LEC,Seven Wk 1,MoTuWeTh 14:55 - 16:43,B - Vert 10-125,Carl Belizaire,5.0
CSTM 120,57053,1MRI-LEC,Seven Wk 1,MoTuWeTh 10:10 - 11:58,B - Vert 10-125,Abraham Tai,3.4
CSTM 120,57054,1SMR-LEC,Seven Wk 1,MoTuWeTh 17:35 - 19:23,B - Vert 10-125,Samantha Tulloch,No Rating
CSTM 120,43063,JMWA-LEC,Regular,MoWe 12:25 - 14:05,A - 17 Lex 305,Ibrahima Bah,3.88
CSTM 120,57051,KTRA-LEC,Regular,TuTh 14:55 - 16:35,A - 17 Lex 1302,Ibrahima Bah,3.88
CSTM 120,43064,MSA-LEC,Regular,Sa 11:10 - 12:50,B - Vert 4-125,Rachid Zguiouar, ,No Rating
CSTM 120,43065,SMWA-LEC,Regular,MoWe 17:40 - 19:20,A - 17 Lex 1312,Lukasz Bogdan,3.4
CSTM 120,43218,TTRA-LEC,Regular,TuTh 19:45 - 21:25,B - Vert 12-140,Andreas Kakolyris,3.8
CUNBA 1,44776,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 2,44777,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 3,44601,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 3,75971,CNBA-LEC,Winter,TBA,TBA,Staff,No Rating
CUNBA 4,44602,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 4,75972,CNBA-LEC,Winter,TBA,TBA,Staff,No Rating
CUNBA 4.5,80611,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 5,44603,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 5,75973,CNBA-LEC,Winter,TBA,TBA,Staff,No Rating
CUNBA 6,44604,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 6,75974,CNBA-LEC,Winter,TBA,TBA,Staff,No Rating
CUNBA 7,44605,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 7,75975,CNBA-LEC,Winter,TBA,TBA,Staff,No Rating
CUNBA 8,44606,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 8,75976,CNBA-LEC,Winter,TBA,TBA,Staff,No Rating
CUNBA 9,44607,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 10,44608,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
CUNBA 12,44609,CNBA-LEC,Regular,TBA,TBA,Staff,No Rating
ECO 1001,43867,CTA-LEC,Regular,Tu 10:45 - 12:00,A - 17 Lex 5SO,Ernesto Garcia,3.3
ECO 1001,44217,EMW-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 3-150,June Oneill,2.1
ECO 1001,44532,ETA-LEC,Regular,Tu 14:30 - 15:45,B - Vert 7-155,Paloma Lopez Mesa Moyano,No Rating
ECO 1001,44496,FMW-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 3-150,June Oneill,2.1
ECO 1001,59541,FO1A-REC,Regular,TBA,TBA,Yan Li,4.0
ECO 1001,59542,FO1B-REC,Regular,TBA,TBA,Yan Li,4.0
ECO 1001,59540,FO1L-LEC,Regular,TBA,TBA,Laetitia Placido,No Rating
ECO 1001,44218,FRA-LEC,Regular,Th 16:10 - 17:25,B - Vert 10-155,Heejin Kim,4.33
ECO 1001,43868,PMA-LEC,Regular,Mo 17:50 - 19:05,B - Vert 11-150,Andrew Green,2.9
ECO 1001H,43870,BMWH-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 3-185,Aparna Anand,2.6
ECO 1002,59543,CMW-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 5-150,Norman Kleinberg,2.8
ECO 1002,59545,CMWA-REC,Regular,Mo 09:45 - 10:35,B - Vert 3-125,Aditya Kashikar,No Rating
ECO 1002,59546,CMWB-REC,Regular,Mo 12:10 - 13:00,B - Vert 3-125,Aditya Kashikar,No Rating
ECO 1002,59550,CMWC-REC,Regular,We 09:45 - 10:35,B - Vert 3-125,Andrea Golfari,No Rating
ECO 1002,59568,CMWD-REC,Regular,We 12:10 - 13:00,B - Vert 3-125,Andrea Golfari,No Rating
ECO 1002,44017,ETR-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 5-150,Edward Malca,3.8
ECO 1002,43875,ETRA-REC,Regular,Tu 13:30 - 14:20,B - Vert 3-125,Yan Li,4.0
ECO 1002,43876,ETRB-REC,Regular,Tu 15:55 - 16:45,B - Vert 3-125,Yan Li,4.0
ECO 1002,43877,ETRC-REC,Regular,Tu 13:30 - 14:20,B - Vert 4-125,Yu Shan,No Rating
ECO 1002,43878,ETRD-REC,Regular,Th 15:55 - 16:45,B - Vert 3-125,Yu Shan,No Rating
ECO 1002,44230,PTR-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 5-165,Christine Shaw,3.5
ECO 1002H,43879,CMWH-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 3-185,Mira Tsymuk,3.3
ECO 1110,43880,CTR-LEC,Regular,TuTh 10:45 - 12:00,A - 17 Lex 1421,Alev Yildirim,No Rating
ECO 3100,44219,BMW-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 12-150,Sean Crockett,4.3
ECO 3100,59569,EMW-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 9-155,Mira Tsymuk,3.3
ECO 3100,43881,ETR-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 12-150,Larry Huckins,2.5
ECO 3200,43883,EMW-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 12-150,Barry Ma,2.77
ECO 3200,43884,PTR-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 10-155,Peter Gutmann,1.8
ECO 3220,44220,EMW-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 5-175,Rhonda Halpern,3.5
ECO 3220,43885,FMW-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 11-155,Rhonda Halpern,3.5
ECO 3220,43886,PTR-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 9-150,Wei Simi,2.1
ECO 3250,43888,ETR-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 12-155,Jae Lee,4.0
ECO 3250,43889,PMW-LEC,Regular,MoWe 17:50 - 19:05,B - Vert 9-150,Jonathan Gold,4.47
ECO 3250,43887,QMW-LEC,Regular,MoWe 19:30 - 20:45,B - Vert 7-150,Jonathan Gold,4.47
ECO 4000,43893,CMW-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 11-155,Aparna Anand,2.6
ECO 4000,43892,CTR-LEC,Regular,TuTh 10:45 - 12:00,B - Vert 7-155,Guillaume Haeringer,2.2
ECO 4000,43891,FMW-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 9-145,Barry Ma,2.77
ECO 4000,43894,MS-LEC,Regular,Sa 11:10 - 14:05,B - Vert 10-150,Efstathia Korkou,5.0
ECO 4000,78676,MSB-LEC,Regular,Sa 11:10 - 14:05,B - Vert 7-150,Ardavan Mobasheri,3.29
ECO 4000,43890,PMW-LEC,Regular,MoWe 17:50 - 19:05,B - Vert 11-155,Josef Schwalbe,1.7
ECO 4000,44221,PTR-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 7-155,Georgios Koimisis,No Rating
ECO 4000,43895,QTR-LEC,Regular,TuTh 19:30 - 20:45,B - Vert 9-150,Rui Yao,2.69
ECO 4100,43898,LS-LEC,Regular,Sa 07:50 - 10:45,B - Vert 11-135,Hany Guirguis,2.7
ECO 4100,74754,MS-LEC,Regular,Sa 11:10 - 14:05,B - Vert 11-135,Hany Guirguis,2.7
ECO 4200,43899,FTR-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 10-160,Parul Jain,2.8
ECO 4201,44631,ETR-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 10-170,Parul Jain,2.8
ECO 4201,43902,PMW-LEC,Regular,MoWe 17:50 - 19:05,B - Vert 9-125,William Henry,2.6
ECO 4201,43901,QMW-LEC,Regular,MoWe 19:30 - 20:45,B - Vert 5-165,William Henry,2.6
ECO 5010,44704,HTBA-LEC,Regular,TBA,TBA,Staff,No Rating
ECO 5011,44705,HTBA-LEC,Regular,TBA,TBA,Staff,No Rating
ECO 6002H,79564,MANZ-LEC,Regular,TBA,TBA,Sebastiano Manzan,4.01
ECO 9723,43903,UWA-LEC,Regular,We 18:05 - 21:00,B - Vert 11-150,Thomas Piskula,3.02
ECO 9730,56395,2PTR-LEC,Seven Wk 2,TuTh 17:50 - 19:05,B - Vert 8-150,Fred Avestruz,2.9
ECO 9730,57440,JANE-LEC,Winter,TuTh 17:50 - 21:35,B - Vert 3-160,Larry Huckins,2.5
ECO 9730,74033,XM34-LEC,Regular,TBA,TBA,Herve Queneau,No Rating
ECO 9740,56396,2MS-LEC,Seven Wk 2,Sa 11:10 - 14:05,B - Vert 7-155,Fred Avestruz,2.9
ECO 9740,57442,JANE-LEC,Winter,MoTuTh 18:00 - 20:30,B - Vert 3-165,Hany Guirguis,2.7
ECO 9792,75862,XHC5-LEC,Regular,TBA,TBA,Gregory Colman,No Rating
ENG 132,44470,BMWF-LEC,Regular,MoWe 09:05 - 12:00,B - Vert 6-150,Gregory Galassini,4.3
ENG 2100,43067,GMWA-LEC,Regular,MoWe 07:50 - 09:30,B - Vert 4-220,Peter Vilbig,No Rating
ENG 2100,43069,HMWA-LEC,Regular,MoWe 09:55 - 11:35,A - 17 Lex 1203,Michael Miller,3.7
ENG 2100,43073,HMWB-LEC,Regular,MoWe 09:55 - 11:35,A - 17 Lex 1421,Brian Gempp,4.0
ENG 2100,43070,HTRA-LEC,Regular,TuTh 09:55 - 11:35,B - Vert 4-212,Paulette Oke,2.71
ENG 2100,43071,JMWA-LEC,Regular,MoWe 12:25 - 14:05,A - 17 Lex 709,Emily Cementina,No Rating
ENG 2100,43072,JMWB-LEC,Regular,MoWe 12:25 - 14:05,A - 17 Lex 1302,Suzette Andrews-Parker,No Rating
ENG 2100,43075,KMWB-LEC,Regular,MoWe 14:55 - 16:35,A - 17 Lex 712,Nikolina Nedeljkov,3.07
ENG 2100,43076,KTRA-LEC,Regular,TuTh 14:55 - 16:35,A - 17 Lex 1012,Christina Quintana,No Rating
ENG 2100,43077,SMWA-LEC,Regular,MoWe 17:40 - 19:20,B - Vert 3-190,Nikolina Nedeljkov,3.07
ENG 2100,43078,STRA-LEC,Regular,TuTh 17:40 - 19:20,B - Vert 7-215,Ian Green,4.8
ENG 2100T,43102,BCMW-LEC,Regular,MoWe 09:05 - 12:00,A - 17 Lex 611,Kawai Wong,No Rating
ENG 2100T,43135,NMWA-LEC,Regular,MoWe 14:30 - 17:25,A - 17 Lex 1012,Ann Vigo,3.8
ENG 2150,43146,GMWA-LEC,Regular,MoWe 07:50 - 09:30,B - Vert 4-165,Saundra Towns,2.02
ENG 2150,43155,GMWB-LEC,Regular,MoWe 07:50 - 09:30,B - Vert 9-175,Catherine Russell,No Rating
ENG 2150,43159,GMWC-LEC,Regular,MoWe 07:50 - 09:30,B - Vert 7-205,Monica Vecchio,3.7
ENG 2150,57023,GMWD-LEC,Regular,MoWe 07:50 - 09:30,B - Vert 4-160,Frank Martinelli,3.8
